Date,State,Lokshabha Seat Name,Incident Description,Action taken,Location of Incident,Coordinates,Source news article
25-05-2024,Delhi,North East Delhi,Alleged bogus voting by Manoj Tiwari,,,,"Lok Sabha election: Congress' Digvijay Singh posts video, accuses BJP's Manoj Tiwari of bogus voting - The Economic Times (indiatimes.com)"
01-06-2024,West Bengal,Jadavpur,Supporters Clash,,Bhangur,"22.512159273751127, 88.60941410449847",Video: Cops seen chasing crowd after violence in Bengal during final phase voting - India Today
01-06-2024,,Balurghat,Supporters Clash,,,,"LS polls, phase 2: Elderly among first to vote as polling begins in Noida | Lok Sabha Elections News - Business Standard (business-standard.com)"
01-06-2024,West Bengal,Barasat,Supporters Clash,Repolling,,,
01-06-2024,West Bengal,Mathurapur,Supporters Clash,Repolling,,,Election Commission orders repolling in two booths in West Bengal | Lok Sabha Elections News - Business Standard (business-standard.com)
01-06-2024,West Bengal,Barasat,Malpractices at booth against BJP option on EVM and other,Repolling,Deganga,"22.68548674972559, 88.6488105627849",Election Commission Orders Repolling in Two West Bengal Booths Following Allegations of Malpractices | - Times of India (indiatimes.com)
01-06-2024,West Bengal,Mathurapur,Malpractices at booth against BJP option on EVM and other,Repolling,Kakdwip,"21.873534514256395, 88.18802820210271",Election Commission Orders Repolling in Two West Bengal Booths Following Allegations of Malpractices | - Times of India (indiatimes.com)
01-06-2024,West Bengal,Basirhat,Clashes in several areas,,Sandeshkhali,,https://www.thehindu.com/elections/lok-sabha/phase-7-polls-west-bengal-violence-june-1-2024/article68238692.ece
01-06-2024,West Bengal,Jaynagar,Throwing of EVM and papers in pond by local mob,,Banimadhabpur F P Primary School,"22.1872226065171, 88.61482837304435",https://www.thehindu.com/elections/lok-sabha/phase-7-polls-west-bengal-violence-june-1-2024/article68238692.ece
01-06-2024,West Bengal,Jadavpur,Crude bomb throwing,,Bhangar,,https://www.thehindu.com/elections/lok-sabha/phase-7-polls-west-bengal-violence-june-1-2024/article68238692.ece
01-06-2024,West Bengal,Diamond Harbour,Clash with TMC Workers,,,,https://www.thehindu.com/elections/lok-sabha/phase-7-polls-west-bengal-violence-june-1-2024/article68238692.ece
